Label;degree;weighted degree;Eccentricity;closnesscentrality;harmonicclosnesscentrality;betweenesscentrality;Authority;Hub;modularity_class;pageranks;clustering;triangles;eigencentrality;componentnumber
"светлановская площадь";42;42;5;0.374514;0.411457;0.000739;0.034038;0.034037;5;0.001356;0.624855;538;0.227921;0
"проспект энгельса";102;102;4;0.442121;0.495194;0.032407;0.062113;0.062112;3;0.003426;0.221414;1096;0.418717;0
"репищева улица";47;47;5;0.355182;0.393676;0.006009;0.01739;0.01739;5;0.001676;0.450509;487;0.148116;0
"парашютная улица";64;64;4;0.386192;0.43118;0.005923;0.028185;0.028184;5;0.002167;0.390377;787;0.227146;0
"улица маршала новикова";52;52;5;0.366906;0.408381;0.002444;0.029447;0.029446;5;0.001731;0.449472;596;0.215879;0
"проспект испытателей";57;57;4;0.383628;0.426374;0.004417;0.032751;0.03275;5;0.001891;0.432957;691;0.239244;0
"коломяжский проспект";63;63;5;0.378768;0.423952;0.004156;0.033962;0.033961;5;0.002001;0.435219;823;0.255087;0
"коломяжский путепровод";15;15;5;0.320755;0.348366;0.000149;0.008081;0.00808;5;0.000618;0.771429;81;0.062002;0
"улица матроса железняка";8;8;5;0.315158;0.339831;0;0.005656;0.005656;5;0.000402;1;28;0.039768;0
"бестужевская улица";67;67;5;0.397342;0.445098;0.0023;0.081273;0.081272;3;0.00198;0.41384;915;0.432607;0
"кондратьевский проспект";66;66;4;0.413251;0.45569;0.002399;0.081959;0.081959;3;0.001886;0.442308;920;0.423414;0
"площадь калинина";31;31;5;0.355474;0.391792;0.00025;0.039483;0.039483;3;0.000997;0.630108;293;0.19967;0
"лабораторная улица";28;28;4;0.374838;0.405613;0.000285;0.038456;0.038456;3;0.000912;0.695767;263;0.190426;0
"проспект народного ополчения";60;60;4;0.401203;0.442618;0.011729;0.031683;0.031683;4;0.002354;0.30976;530;0.212953;0
"улица партизана германа";34;34;4;0.379431;0.409842;0.001727;0.017919;0.017919;4;0.001413;0.477718;268;0.119485;0
"улица доблести";35;35;4;0.355037;0.385333;0.001171;0.016874;0.016875;4;0.001329;0.535985;283;0.111713;0
"ленинский проспект";82;82;4;0.416227;0.465782;0.011845;0.054338;0.054339;1;0.002854;0.273148;885;0.347511;0
"проспект маршала жукова";55;55;4;0.389838;0.429066;0.006377;0.021069;0.021069;4;0.002355;0.304377;452;0.149667;0
"улица зенитчиков";19;19;5;0.345556;0.372241;0.00029;0.014563;0.014563;4;0.000795;0.748538;128;0.085903;0
"проспект стачек";89;89;4;0.431988;0.481834;0.02994;0.039928;0.039928;4;0.003607;0.185214;709;0.279087;0
"театральная площадь";59;59;4;0.419246;0.460977;0.004574;0.075;0.075;1;0.001803;0.40152;687;0.401032;0
"улица маршала захарова";26;26;4;0.323387;0.350538;0.000127;0.006983;0.006983;4;0.001101;0.663333;199;0.060383;0
"проспект героев";33;33;4;0.389313;0.421184;0.005599;0.009134;0.009134;4;0.001524;0.416667;220;0.084605;0
"улица маршала казакова";29;29;4;0.366132;0.397539;0.001511;0.015353;0.015353;4;0.001353;0.477833;194;0.10366;0
"комсомольская площадь";65;65;4;0.418841;0.461265;0.014029;0.029683;0.029683;4;0.002686;0.238942;497;0.20919;0
"улица стойкости";7;7;5;0.296512;0.316013;0.000003;0.002479;0.002479;4;0.000444;0.904762;19;0.019498;0
"улица солдата корзуна";12;12;5;0.308871;0.330892;0.000021;0.003613;0.003613;4;0.000639;0.818182;54;0.030216;0
"улица подводника кузьмина";25;25;4;0.357673;0.388312;0.001189;0.015666;0.015666;4;0.001021;0.506667;152;0.105472;0
"бульвар новаторов";22;22;4;0.330034;0.355344;0.000227;0.005003;0.005003;4;0.00098;0.614286;129;0.046355;0
"счастливая улица";6;6;5;0.299793;0.316609;0;0.00111;0.00111;4;0.000476;1;15;0.010875;0
"дачный проспект";13;13;4;0.31875;0.340638;0.000177;0.002603;0.002603;4;0.000782;0.666667;52;0.025793;0
"проспект ветеранов";41;41;4;0.358561;0.397347;0.002117;0.012184;0.012184;4;0.001915;0.368293;302;0.100469;0
"улица пионерстроя";6;6;5;0.299793;0.316609;0;0.00111;0.00111;4;0.000476;1;15;0.010875;0
"петергофское шоссе";39;39;4;0.360499;0.397251;0.005483;0.007274;0.007274;4;0.001969;0.327935;243;0.075086;0
"дорога на лэмз";6;6;5;0.299793;0.316609;0;0.00111;0.00111;4;0.000476;1;15;0.010875;0
"улица танкиста хрустицкого";11;11;4;0.315387;0.335544;0.000063;0.002516;0.002516;4;0.000637;0.8;44;0.023929;0
"таллинское шоссе";28;28;4;0.358709;0.388312;0.000624;0.00759;0.00759;4;0.001322;0.47619;180;0.068044;0
"красносельское шоссе";79;79;4;0.428571;0.475106;0.017694;0.031817;0.031817;1;0.003014;0.271062;814;0.263685;0
"аннинское шоссе";18;18;4;0.358264;0.383891;0.000455;0.006437;0.006437;4;0.000884;0.594771;91;0.05608;0
"улица политрука пасечника";9;9;4;0.315158;0.334391;0;0.002397;0.002397;4;0.000536;1;36;0.022471;0
"улица тамбасова";15;15;4;0.336047;0.361303;0.000192;0.00513;0.00513;4;0.000739;0.761905;80;0.04423;0
"улица чекистов";15;15;4;0.336047;0.361303;0.000192;0.00513;0.00513;4;0.000739;0.761905;80;0.04423;0
"улица рихарда зорге";20;20;4;0.322665;0.347078;0.000078;0.005749;0.005749;4;0.000854;0.754386;129;0.047963;0
"улица десантников";18;18;4;0.322665;0.347078;0.000078;0.005749;0.005749;4;0.00085;0.732026;112;0.046713;0
"брестский бульвар";10;10;5;0.298554;0.31955;0;0.003383;0.003383;4;0.000537;1;45;0.026948;0
