Label;degree;weighted degree;Eccentricity;closnesscentrality;harmonicclosnesscentrality;betweenesscentrality;Authority;Hub;modularity_class;pageranks;componentnumber;clustering;triangles;eigencentrality
144;30;30;4;0.434921;0.488747;0.000202;0.087614;0.087615;2;0.003364;0;0.921839;401;0.517331
146;30;30;4;0.434921;0.488747;0.000202;0.087614;0.087615;2;0.003364;0;0.921839;401;0.517331
147;42;42;4;0.452145;0.517336;0.00215;0.114043;0.114044;2;0.004554;0;0.601626;518;0.689142
149;30;30;4;0.434921;0.488747;0.000202;0.087614;0.087615;2;0.003364;0;0.921839;401;0.517331
149а;30;30;4;0.434921;0.488747;0.000202;0.087614;0.087615;2;0.003364;0;0.921839;401;0.517331
175;32;32;3;0.458194;0.508516;0.006798;0.050886;0.050886;3;0.003962;0;0.544355;270;0.34562
186;64;64;3;0.542574;0.604015;0.03325;0.133552;0.133553;1;0.00701;0;0.335813;677;0.891387
188;44;44;3;0.498182;0.552311;0.005473;0.102447;0.102447;2;0.004926;0;0.460888;436;0.662266
196;63;63;3;0.496377;0.574209;0.02464;0.137073;0.137074;2;0.006948;0;0.361495;706;0.865965
213;40;40;4;0.453642;0.516727;0.002205;0.105995;0.105996;2;0.004417;0;0.674359;526;0.634527
215;10;10;4;0.385373;0.4191;0.000287;0.01782;0.01782;2;0.001631;0;0.511111;23;0.114861
315;53;53;3;0.5;0.564477;0.012264;0.117391;0.11739;2;0.005941;0;0.387518;534;0.752138
318;40;40;4;0.453642;0.516727;0.002205;0.105995;0.105996;2;0.004417;0;0.674359;526;0.634527
319;40;40;4;0.453642;0.516727;0.002205;0.105995;0.105996;2;0.004417;0;0.674359;526;0.634527
321;30;30;4;0.434231;0.488139;0.000403;0.087089;0.08709;2;0.003377;0;0.931034;405;0.51297
322;40;40;4;0.453642;0.516727;0.002205;0.105995;0.105996;2;0.004417;0;0.674359;526;0.634527
331;19;19;4;0.420891;0.4632;0.00238;0.048022;0.048022;2;0.002612;0;0.900585;154;0.307302
335а;27;27;3;0.464407;0.507299;0.006086;0.064019;0.064019;2;0.003415;0;0.586895;206;0.418539
337;49;49;3;0.498182;0.558394;0.01148;0.11942;0.11942;2;0.005388;0;0.465986;548;0.736195
364;57;57;3;0.497278;0.567518;0.017696;0.120176;0.120177;3;0.006282;0;0.420426;671;0.753122
370;36;36;3;0.488414;0.535888;0.002823;0.078895;0.078895;2;0.004169;0;0.547619;345;0.519435
371;25;25;3;0.45515;0.497567;0.002456;0.058066;0.058067;2;0.003022;0;0.683333;205;0.378244
374;50;50;3;0.477352;0.545012;0.010692;0.11443;0.114431;2;0.005597;0;0.442449;542;0.702437
375;42;42;3;0.494585;0.547445;0.009163;0.089541;0.089541;2;0.004774;0;0.414634;357;0.590414
376;62;62;3;0.534113;0.596715;0.02428;0.124248;0.124249;3;0.006844;0;0.368059;696;0.819757
377;33;33;4;0.462057;0.514294;0.004576;0.074825;0.074825;2;0.003827;0;0.522727;276;0.48375
381;49;49;3;0.519924;0.572384;0.010765;0.110584;0.110585;2;0.005459;0;0.418367;492;0.720492
