Label;degree;weighted degree;Eccentricity;closnesscentrality;harmonicclosnesscentrality;betweenesscentrality;Authority;Hub;modularity_class;pageranks;componentnumber;clustering;triangles;eigencentrality
"большая морская улица";3;3;18;0.117783;0.129194;0.000085;0.000167;0.000167;7;0.001121;0;0.666667;2;0.03544
"поцелуев мост";2;2;18;0.116752;0.126741;0;0.000144;0.000144;7;0.000796;0;1;1;0.02549
"кронштадтская улица";4;4;14;0.167893;0.193504;0.022582;0.009887;0.009886;5;0.001297;0;0;0;0.119145
"привокзальная улица";4;4;15;0.168579;0.194144;0.005914;0.021442;0.021441;18;0.001212;0;0.166667;1;0.181408
"улица труда";4;4;14;0.164579;0.187871;0.004797;0.009315;0.009315;6;0.001197;0;0.166667;1;0.122865
"октябрьская улица";5;5;14;0.165269;0.189258;0.008445;0.009339;0.009339;6;0.001496;0;0.1;1;0.134912
"улица аврова";3;3;15;0.161663;0.184952;0.013639;0.008241;0.008241;18;0.000987;0;0.333333;1;0.114873
"озерковая улица";4;4;15;0.160496;0.182876;0.008427;0.008361;0.008361;18;0.001302;0;0.166667;1;0.11373
"луизинская улица";2;2;15;0.159669;0.179928;0.003583;0.006702;0.006702;18;0.000815;0;0;0;0.072333
"дворцовый проспект";4;4;14;0.162208;0.185203;0.036621;0.012132;0.012132;5;0.001387;0;0;0;0.078988
"манежный спуск";3;3;15;0.139997;0.156086;0.020569;0.002045;0.002045;5;0.001147;0;0.333333;1;0.035667
"морская улица";3;3;15;0.140999;0.158074;0.009908;0.002086;0.002086;5;0.001219;0;0;0;0.031198
