улица костюшко, кубинская улица
площадь конституции, новоизмайловский проспект
стартовая улица, улица пилотов
южная дорога, большой петровский мост
большой петровский мост, улица савиной
улица савиной, петровская площадь
петровская площадь, петровский проспект
петровский проспект, новоладожская улица
новоладожская улица, улица красного курсанта
улица красного курсанта, корпусная улица
корпусная улица, большая зеленина улица
большая зеленина улица, рыбацкая улица
рыбацкая улица, введенская улица
введенская улица, улица воскова
улица воскова, кронверкская улица
улица воскова, дубковское шоссе
улица воскова, улица володарского
улица воскова, улица мосина
улица котовского, большая монетная улица
большая монетная улица, улица чапаева
улица чапаева, гренадерский мост
гренадерский мост, гренадерская улица
гренадерская улица, большой сампсониевский проспект
большой сампсониевский проспект, улица смолячкова
большой сампсониевский проспект, финляндский проспект
большой сампсониевский проспект, боткинская улица
большой сампсониевский проспект, проспект энгельса
улица смолячкова, лесной проспект
белорусская улица, ленская улица
ленская улица, улица коммуны
ленская улица, проспект наставников
улица коммуны, хасанская улица
улица коммуны, рябовское шоссе
улица коммуны, проспект косыгина
улица коммуны, проспект ударников
улица коммуны, шоссе революции
улица коммуны, проспект энтузиастов
улица коммуны, ириновский проспект
улица коммуны, улица химиков
улица коммуны, павловская улица
улица коммуны, адмиралтейская улица
хасанская улица, проспект наставников
хасанская улица, индустриальный проспект
хасанская улица, российский путепровод
проспект наставников, ириновский проспект
проспект наставников, проспект ударников
проспект наставников, проспект энтузиастов
проспект наставников, проспект косыгина
ириновский проспект, большая пороховская улица
ириновский проспект, индустриальный проспект
большая пороховская улица, среднеохтинский проспект
большая пороховская улица, проспект металлистов
среднеохтинский проспект, шоссе революции
большеохтинский мост, тульская улица
тульская улица, новгородская улица
тульская улица, суворовский проспект
тульская улица, мост петра великого
тульская улица, улица бонч-бруевича
новгородская улица, 8-я советская улица
новгородская улица, исполкомская улица
новгородская улица, улица моисеенко
8-я советская улица, улица некрасова
улица некрасова, греческий проспект
звёздная улица, пулковская улица
звёздная улица, витебский проспект
звёздная улица, проспект космонавтов
пулковская улица, улица орджоникидзе
пулковская улица, звездная улица
улица орджоникидзе, проспект юрия гагарина
улица орджоникидзе, проспект космонавтов
улица орджоникидзе, витебский проспект
проспект юрия гагарина, бассейная улица
проспект юрия гагарина, московское шоссе
бассейная улица, новоизмайловский проспект
бассейная улица, проспект космонавтов
корабельная улица, кронштадская улица
перевалочная улица, угольный мост
угольный мост, дорога в угольную гавань
улица стойкости, улица солдата корзуна
улица солдата корзуна, проспект ветеранов
улица подводника кузьмина, бульвар новаторов
улица подводника кузьмина, улица зины портновой
бульвар новаторов, дачный проспект
бульвар новаторов, улица танкиста хрустицкого
бульвар новаторов, проспект ветеранов
таллинское шоссе, красносельское шоссе
таллинское шоссе, волхонское шоссе
красносельское шоссе, аннинское шоссе
красносельское шоссе, волхонское шоссе
красносельское шоссе, сапёрная улица
красносельское шоссе, парковая улица
красносельское шоссе, киевское шоссе
красносельское шоссе, карлинский путепровод
красносельское шоссе, малое карлино
красносельское шоссе, пушкинское шоссе
красносельское шоссе, старогатчинское шоссе
аннинское шоссе, заречная улица
аннинское шоссе, улица политрука пасечника
заречная улица, парковая улица
заречная улица, улица шишкина
заречная улица, центральная улица
заречная улица, токсовское шоссе
шоссе революции, большой ильинский мост
шоссе революции, пискарёвский проспект
шоссе революции, улица химиков
шоссе революции, большеохтинский проспект
шоссе революции, уманский переулок
шоссе революции, улица потапова
шоссе революции, индустриальный проспект
суворовский проспект, кирочная улица
суворовский проспект, улица моисеенко
суворовский проспект, площадь пролетарской диктатуры
суворовский проспект, 9-я советская улица
суворовский проспект, тверская улица
кирочная улица, потёмкинская улица
рижский проспект, екатерингофский мост
екатерингофский мост, гапсальская улица
гапсальская улица, межевой канал
межевой канал, виндавская улица
виндавская улица, двинская улица
двинская улица, гутуевский мост
двинская улица, канонерский тоннель
двинская улица, невельская улица
двинская улица, шотландская улица
двинская улица, шотландское шоссе
рябовское шоссе, лесопарковая улица
рябовское шоссе, ржевская улица
лесопарковая улица, поперечная улица
поперечная улица, 2-я поперечная улица
2-я поперечная улица, улица мосина
2-я поперечная улица, 2-я тарховская улица
2-я поперечная улица, 3-я тарховская улица
проспект косыгина, улица передовиков
мост александра невского, площадь александра невского
песочная набережная, барочная улица
песочная набережная, вяземский переулок
песочная набережная, каменноостровский мост
барочная улица, улица профессора попова
улица профессора попова, вяземский переулок
белоостровская улица, вазаский переулок
белоостровская улица, площадь академика климова
вазаский переулок, набережная чёрной речки
проспект ударников, улица передовиков
проспект ударников, индустриальный проспект
улица передовиков, проспект энтузиастов
улица передовиков, индустриальный проспект
индустриальный проспект, шафировский проспект
индустриальный проспект, проспект энтузиастов
индустриальный проспект, жириновский проспект
индустриальный проспект, российский путепровод
проспект металлистов, кондратьевский проспект
проспект металлистов, замшина улица
проспект металлистов, пискарёвский проспект
проспект металлистов, якорная улица
кондратьевский проспект, площадь калинина
кондратьевский проспект, арсенальная улица
кондратьевский проспект, проспект мечникова
кондратьевский проспект, проспект маршала блюхера
кондратьевский проспект, бестужевская улица
кондратьевский проспект, репнинская улица
площадь калинина, полюстровский проспект
площадь калинина, лабораторная улица
арсенальная улица, арсенальная набережная
арсенальная набережная, площадь ленина
будапештская улица, малая балканская улица
будапештская улица, улица олеко дундича
будапештская улица, улица ярослава гашека
будапештская улица, улица димитрова
будапештская улица, улица фучика
пискарёвский проспект, репнинская улица
пискарёвский проспект, полюстровский проспект
пискарёвский проспект, муринская дорога
пискарёвский проспект, улица руставели
пискарёвский проспект, шафировский проспект
пискарёвский проспект, проспект мечникова
пискарёвский проспект, проспект непокорённых
пискарёвский проспект, бестужевская улица
пискарёвский проспект, нартовская улица
пискарёвский проспект, брюсовская улица
пискарёвский проспект, проспект маршала блюхера
репнинская улица, проспект мечникова
репнинская улица, пискаревский проспект- брюсовская улица
репнинская улица, екатерининский проспект
репнинская улица, бестужевская улица
репнинская улица, брюсовская улица
проспект мечникова, замшина улица
проспект мечникова, пискаревский проспект
замшина улица, полюстровский проспект
замшина улица, бестужевская улица
полюстровский проспект, кантемировская улица
полюстровский проспект, лабораторная улица
кантемировская улица, площадь академика климова
кантемировская улица, проспект маршала блюхера
кантемировская улица, кантемировской мост
набережная чёрной речки, школьная улица
набережная чёрной речки, улица савушкина
московское шоссе, шушары
московское шоссе, свирская улица
московское шоссе, витебский проспект
московское шоссе, колпинское шоссе
московское шоссе, 3-й бадаевский проезд
московское шоссе, госпитальная улица
московское шоссе, удаловская улица
московское шоссе, московский переулок
московское шоссе, фильтровское шоссе
шушары, пушкин 
шушары, колпино
шушары, пушкин
шушары, петро-славянка
шушары, витебский проспект
репищева улица, вербная улица
репищева улица, проспект сизова
вербная улица, афонская улица
вербная улица, улица маршала новикова
афонская улица, улица аккуратова
улица аккуратова, фермское шоссе
улица аккуратова, 3-я линия 1-й половины
фермское шоссе, скобелевский проспект
скобелевский проспект, удельный проспект
скобелевский проспект, проспект энгельса
удельный проспект, поклонногорская улица
поклонногорская улица, большая озёрная улица
большая озёрная улица, приморская улица
приморская улица, новоорловская улица
новоорловская улица, заповедная улица
заповедная улица, заповедная аллея
заповедная аллея, улица академика харитона
улица академика харитона, улица летчика паршина
проезд к аэропорту пулково-1, площадь аэропорта пулково-1
улица маршала новикова, проспект королёва
улица маршала новикова, проспект королева
проспект энгельса, проспект луначарского
проспект энгельса, улица сикейроса
проспект энгельса, выборгское шоссе
проспект энгельса, парголово
проспект энгельса, 8-й верхний переулок
проспект энгельса, санкт-петербург
проспект энгельса, новоприозерское шоссе
проспект энгельса, проспект просвещения
проспект энгельса, парнасский путепровод
проспект энгельса, парголово 
проспект энгельса, 3-й верхний переулок
проспект энгельса, кад
площадь мужества, проспект непокорённых
проспект непокорённых, гражданский проспект
проспект непокорённых, меншиковский проспект
проспект непокорённых, шафировский проспект
проспект непокорённых, улица бутлерова
гражданский проспект, проспект науки
гражданский проспект, северная площадь
гражданский проспект, проспект луначарского
гражданский проспект, проспект просвещения
гражданский проспект, кушелевская дорога
гражданский проспект, суздальский проспект
гражданский проспект, улица руставели
проспект науки, улица вавиловых
проспект науки, улица руставели
проспект науки, улица карпинского
проспект науки, улица софьи ковалевской
проспект науки, тихорецкий проспект
проспект науки, улица бутлерова
улица вавиловых, северный проспект
северный проспект, северный проспект
северный проспект, северная площадь
северный проспект, улица руставели
северный проспект, улица софьи ковалевской
северный проспект, проспект художников
северный проспект, улица есенина
северный проспект, тихорецкий проспект
проспект луначарского, улица ушинского
проспект луначарского, улица композиторов
проспект луначарского, выборгское шоссе
проспект луначарского, улица черкасова
проспект луначарского, улица руставели
проспект луначарского, проспект художников
улица ушинского, суздальский проспект
улица ушинского, тимуровская улица
улица ушинского, проспект просвещения
улица ушинского, учительская улица
суздальский проспект, улица демьяна бедного
суздальский проспект, проспект культуры
суздальский проспект, проспект художников
улица одоевского, проспект кима
улица одоевского, наличный мост
проспект кима, железноводская улица
проспект кима, набережная реки смоленки
проспект кима, уральская улица
проспект кима, железноводсая улица
железноводская улица, уральская улица
уральская улица, железноводсая улица
16-я и 17-я линии в.о., набережная реки смоленки
площадь пролетарской диктатуры, тверская улица
площадь пролетарской диктатуры, лафонская улица
тверская улица, таврическая улица
тверская улица, оборонная улица
тверская улица, банковский переулок
тверская улица, тверской мост
тверская улица, улица ремизова
тверская улица, улица ижорского батальона
таврическая улица, шпалерная улица
шпалерная улица, гагаринская улица
шпалерная улица, площадь растрелли
шпалерная улица, потёмкинская улица
гагаринская улица, улица пестеля
улица пестеля, набережная реки мойки
набережная реки мойки, набережная лебяжьей канавки
набережная лебяжьей канавки, миллионная улица
набережная лебяжьей канавки, сенная площадь
набережная лебяжьей канавки, троицкий мост
миллионная улица, суворовская площадь
суворовская площадь, троицкий мост
рабфаковская улица, запорожская улица
запорожская улица, улица грибакиных
гутуевский мост, набережная обводного канала
садовая улица, площадь тургенева
садовая улица, сенная площадь
садовая улица, оранжерейная улица
садовая улица, павловское шоссе
садовая улица, парковая улица
садовая улица, конюшенная улица
садовая улица, детскосельская улица
садовая улица, госпитальная улица
